candidate_present,canonical_profile_sha256,fault_id,integrity_pass,profile_present,profile_ref,profile_sha_parity,scenario,scenario_local,semantic_bytes_parity,semantic_profile_hash,semantic_sha_parity,semantic_valid,success_h2s
True,7b9cfc8f8f56d35577ce227a3fd48ad1921c052bae4eb68c998981458f1834f0,l_SW_C01_CORE_B_SW_C01_M02_CTRL,True,True,profiles/L_REDSTAR/l_SW_C01_CORE_B_SW_C01_M02_CTRL.json,True,L_REDSTAR,True,True,89c708e940d9121f2226312675dcbb36b70b0deee58441f69dc2834d98dc17b7,True,True,True
True,7ed66fdc95d77f82220d5f61089e51a0f7566a1a1ba51cd9365aff200cb0c3be,l_SW_C01_CORE_B_SW_C01_M02_SENS,True,True,profiles/L_REDSTAR/l_SW_C01_CORE_B_SW_C01_M02_SENS.json,True,L_REDSTAR,True,True,89c708e940d9121f2226312675dcbb36b70b0deee58441f69dc2834d98dc17b7,True,True,True
True,535f8eb3eadd1127ce3a81301be21ffb1fc9c0008377fc24a1cbd2649d55ed17,l_SW_C01_CORE_B_SW_C01_M03_CTRL,True,True,profiles/L_REDSTAR/l_SW_C01_CORE_B_SW_C01_M03_CTRL.json,True,L_REDSTAR,True,True,5fb4971d25614dc93d53ee4540dc627380e2994a84639a0eb97593b75e48a4da,True,True,True
True,8e56e6e3549b41c67a2e024b706a351980e5f4ad6fb6a27f63c124a57a148b89,l_SW_C01_CORE_B_SW_C01_M03_SENS,True,True,profiles/L_REDSTAR/l_SW_C01_CORE_B_SW_C01_M03_SENS.json,True,L_REDSTAR,True,True,5fb4971d25614dc93d53ee4540dc627380e2994a84639a0eb97593b75e48a4da,True,True,True
True,2b5f91f689c6213c95d667f9fa1222873a24e7b5e6befcbe3d2a5b1e84eb62af,l_SW_C01_CORE_B_SW_C01_M04_CTRL,True,True,profiles/L_REDSTAR/l_SW_C01_CORE_B_SW_C01_M04_CTRL.json,True,L_REDSTAR,True,True,c33fc91d41b5c04457672f294840e50f51b40a70eb7a39e0bc09699e5b65488f,True,True,True
True,9141a3b7de9c0925b194288e4148a12b921cf63f1433e99fe9a227788bcba399,l_SW_C01_CORE_B_SW_C01_M04_SENS,True,True,profiles/L_REDSTAR/l_SW_C01_CORE_B_SW_C01_M04_SENS.json,True,L_REDSTAR,True,True,c33fc91d41b5c04457672f294840e50f51b40a70eb7a39e0bc09699e5b65488f,True,True,True
True,e7ac2fbdc05e1e67d0970a97c6402cd8d374ce102dd440038348021e9b079e44,l_SW_C01_CORE_B_SW_FACTORY_CORE_A,True,True,profiles/L_REDSTAR/l_SW_C01_CORE_B_SW_FACTORY_CORE_A.json,True,L_REDSTAR,True,True,5278e525a940c56788bdf1da13a0aab0dffc230691ee7e179179bbc07988fe22,True,True,True
True,e4649d3c2d4a35f61b1d1a8d56c0544ea90aede2a24e1de5aa62ed4bc0e709dd,l_SW_C02_CC_SW_C02_CORE_A,True,True,profiles/L_REDSTAR/l_SW_C02_CC_SW_C02_CORE_A.json,True,L_REDSTAR,True,True,9e01820e46fc02a59f900f5bbc7fa8d3cc877ba5db15f7425c4cfdff82f95183,True,True,True
True,d4d1f360ea83086eb3500f7387f9fe0c3b4cebf50e745504f2b67a30394a7fe2,l_SW_C02_CC_SW_C02_CORE_B,True,True,profiles/L_REDSTAR/l_SW_C02_CC_SW_C02_CORE_B.json,True,L_REDSTAR,True,True,6ae99500ad63decc53a67e72542babe18b43e9623d2848bd4704cd1e378336a4,True,True,True
True,bcbd9536e28c433ab6aaa8ffd4aa292dc6e8742fb8a8b89706b335ca4129a557,l_SW_C02_CORE_A_SW_C02_M01_ACT,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M01_ACT.json,True,L_REDSTAR,True,True,f08e515098649154036917e50c0cd83ecb98e4c70ffe3b62a853b6767efaf1c4,True,True,True
True,fe99de59370cc5bee0feb08b9e461f6569458534ad27458dfbd6ded16d356c08,l_SW_C02_CORE_A_SW_C02_M01_CTRL,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M01_CTRL.json,True,L_REDSTAR,True,True,cfccd8cd5908d22faa49cb803fa8093e6d1f166d473bc402e7cc5759e6939817,True,True,True
True,00902ea150d708607c49e852a6bf5647442bd553f1ffef20d9a560807d55e473,l_SW_C02_CORE_A_SW_C02_M02_ACT,True,True,profiles/L_REDSTAR/l_SW_C02_CORE_A_SW_C02_M02_ACT.json,True,L_REDSTAR,True,True,7da5235c67295707166def3dcad593cfb0ebfaefa43ddf2997e2b24a60baf5ba,True,True,True
