fault_ids,profile_count,representative_fault,scenario,semantic_gzip_bytes,semantic_hash,semantic_payload_bytes
l_SW_C10_CC_SW_C10_CORE_A,1,l_SW_C10_CC_SW_C10_CORE_A,L_REDSTAR,311830,15bd9496cde369c55dcb6e9885e691c807f53711b4e50aa349552a2be78cce6a,7733500
l_SW_C05_CORE_A_SW_C05_M03_CTRL,1,l_SW_C05_CORE_A_SW_C05_M03_CTRL,L_REDSTAR,311997,18b33da96734b16d8cfcd561bea884755ca8ac6496fff0d9fade43096851be41,7734517
l_SW_C02_CORE_A_SW_C02_M02_CTRL,1,l_SW_C02_CORE_A_SW_C02_M02_CTRL,L_REDSTAR,311980,18c17651184d7b3b89f9e423b5d09f7ca7dc433b7d803d6d34473b4cfe3cbcd4,7734527
l_SW_C15_CORE_A_SW_C15_M04_CTRL,1,l_SW_C15_CORE_A_SW_C15_M04_CTRL,L_REDSTAR,312015,1a9819fa983d69c514ad6a3d8eb4aec80aaaf180f75c9c5954c9dcb4d7a07b11,7734876
l_SW_C15_CORE_B_SW_C15_M03_CTRL;l_SW_C15_CORE_B_SW_C15_M03_SENS,2,l_SW_C15_CORE_B_SW_C15_M03_CTRL,L_REDSTAR,311989,1ab6aed0b7f5df096ab22da1b12e87ae63834292c03aa0bb4d647a6faa126e26,7733456
l_SW_C07_CORE_B_SW_FACTORY_CORE_A,1,l_SW_C07_CORE_B_SW_FACTORY_CORE_A,L_REDSTAR,311778,1b026f713c2fa8ad1123840dcb94cc08b6e735fd0cab3f78926dcb4f273ff41f,7732722
l_SW_C03_CC_SW_C03_CORE_A,1,l_SW_C03_CC_SW_C03_CORE_A,L_REDSTAR,311857,1b52165dc050ddf368d4c44580839667065e70b28968477ebc727564fe916234,7733506
l_SW_C10_CC_SW_C10_CORE_B,1,l_SW_C10_CC_SW_C10_CORE_B,L_REDSTAR,311808,1c3ae2c36b019ca6c4215be0c72f1d7ee1769e1f10422edaf5af305aa6754c52,7733470
l_SW_C01_CORE_A_SW_FACTORY_CORE_A,1,l_SW_C01_CORE_A_SW_FACTORY_CORE_A,L_REDSTAR,311887,1de151652a2e00b018d2ce4ebee88e9dd1cdbb17d55ae868c1b3e01939e577a8,7734166
l_SW_C03_CORE_A_SW_C03_M01_ACT,1,l_SW_C03_CORE_A_SW_C03_M01_ACT,L_REDSTAR,311928,20150f85877b060739975580d40639214b846c8dcbfc5cc00e97a81a3a3c4b52,7734908
