affected_flow_count,affected_flow_ids,affected_flow_ratio,endpoint_a,endpoint_b,fault_id,healthy_route_use_count,internal_switch_link,p0_used,p0_used_direction_count,physical_link_id,quantile_bin,scenario_id
18,"['TT0007', 'TT0010', 'TT0011', 'TT0014', 'TT0015', 'TT0027', 'TT0030', 'TT0031', 'TT0034', 'TT0047', 'TT0050', 'TT0051', 'TT0053', 'TT0067', 'TT0071', 'TT0072', 'TT0087', 'TT0091']",0.18,sw0008,sw0010,l_sw0008_sw0010,18,True,True,18,l_sw0008_sw0010,4,S1
18,"['TT0009', 'TT0012', 'TT0013', 'TT0016', 'TT0017', 'TT0029', 'TT0032', 'TT0033', 'TT0036', 'TT0049', 'TT0052', 'TT0053', 'TT0055', 'TT0069', 'TT0073', 'TT0074', 'TT0089', 'TT0093']",0.18,sw0011,sw0013,l_sw0011_sw0013,18,True,True,18,l_sw0011_sw0013,4,S1
18,"['TT0012', 'TT0013', 'TT0016', 'TT0017', 'TT0032', 'TT0033', 'TT0036', 'TT0037', 'TT0052', 'TT0053', 'TT0056', 'TT0057', 'TT0072', 'TT0073', 'TT0074', 'TT0092', 'TT0093', 'TT0094']",0.18,sw0015,sw0017,l_sw0015_sw0017,18,True,True,18,l_sw0015_sw0017,4,S1
18,"['TT0001', 'TT0013', 'TT0016', 'TT0017', 'TT0020', 'TT0033', 'TT0036', 'TT0037', 'TT0040', 'TT0053', 'TT0056', 'TT0057', 'TT0059', 'TT0073', 'TT0077', 'TT0078', 'TT0093', 'TT0097']",0.18,sw0017,sw0019,l_sw0017_sw0019,18,True,True,18,l_sw0017_sw0019,4,S1
18,"['TT0001', 'TT0002', 'TT0016', 'TT0017', 'TT0020', 'TT0021', 'TT0036', 'TT0037', 'TT0040', 'TT0056', 'TT0057', 'TT0060', 'TT0076', 'TT0077', 'TT0078', 'TT0096', 'TT0097', 'TT0098']",0.18,sw0021,sw0023,l_sw0021_sw0023,18,True,True,18,l_sw0021_sw0023,4,S1
18,"['TT0001', 'TT0002', 'TT0004', 'TT0005', 'TT0020', 'TT0021', 'TT0024', 'TT0025', 'TT0040', 'TT0041', 'TT0044', 'TT0060', 'TT0061', 'TT0062', 'TT0080', 'TT0081', 'TT0082', 'TT0100']",0.18,sw0027,sw0029,l_sw0027_sw0029,18,True,True,18,l_sw0027_sw0029,4,S1
20,"['TT0001', 'TT0002', 'TT0004', 'TT0005', 'TT0008', 'TT0009', 'TT0021', 'TT0024', 'TT0025', 'TT0028', 'TT0041', 'TT0044', 'TT0045', 'TT0061', 'TT0062', 'TT0065', 'TT0066', 'TT0081', 'TT0082', 'TT0085']",0.2,sw0001,sw0029,l_sw0001_sw0029,20,True,True,20,l_sw0001_sw0029,4,S1
20,"['TT0001', 'TT0002', 'TT0004', 'TT0005', 'TT0020', 'TT0021', 'TT0024', 'TT0025', 'TT0040', 'TT0041', 'TT0043', 'TT0044', 'TT0060', 'TT0061', 'TT0062', 'TT0063', 'TT0080', 'TT0081', 'TT0082', 'TT0100']",0.2,sw0025,sw0027,l_sw0025_sw0027,20,True,True,20,l_sw0025_sw0027,4,S1
21,"['TT0001', 'TT0002', 'TT0004', 'TT0005', 'TT0017', 'TT0020', 'TT0021', 'TT0024', 'TT0037', 'TT0040', 'TT0041', 'TT0043', 'TT0057', 'TT0060', 'TT0061', 'TT0062', 'TT0077', 'TT0080', 'TT0081', 'TT0097', 'TT0100']",0.21,sw0023,sw0025,l_sw0023_sw0025,21,True,True,21,l_sw0023_sw0025,4,S1
1,['TT0177'],0.005,sw0002,sw0003,l_sw0002_sw0003,1,True,True,1,l_sw0002_sw0003,0,S2
1,['TT0179'],0.005,sw0005,sw0006,l_sw0005_sw0006,1,True,True,1,l_sw0005_sw0006,0,S2
1,['TT0181'],0.005,sw0008,sw0009,l_sw0008_sw0009,1,True,True,1,l_sw0008_sw0009,0,S2
