CELF_HNF_count,CELF_HNF_set_sha,CELF_attempted,CELF_complete,CELF_ms,CELF_scheduled_count,CELF_status,H2S_HNF_count,H2S_HNF_set_sha,H2S_complete,H2S_instance_completion_sha,H2S_ms,H2S_order_sha,H2S_scheduled_count,H2S_scheduled_ratio,H2S_status,candidate_vector_sha,formal_backend_complete,input_scenario_sha,input_topology_sha,peak_RSS,policy_cli_value,policy_command_ok,policy_enum,policy_tag,repeat,scale,scenario,static_checker,topology,total_wall_ms,upstream_verifier
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,472.319934,914,HEURISTIC_NOT_FOUND,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,dc63df2d5a5959409a6e0b394496729577ee83ce789e3f8a77b84cb7fa6ec258,463.501416,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,914,0.9849137931034483,HEURISTIC_NOT_FOUND,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,f70bd685d7b0968b11bee2bc815fcadf48a3fa2a5413d0a50eae3033e2a79786,52686848,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,1,L,L_REDSTAR,False,REDSTAR,2862.459132,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,473.794603,914,HEURISTIC_NOT_FOUND,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,dc63df2d5a5959409a6e0b394496729577ee83ce789e3f8a77b84cb7fa6ec258,464.248665,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,914,0.9849137931034483,HEURISTIC_NOT_FOUND,4e684e52877187f8b74cf6eb5845dd8b04e120eb8d70f30f52d57102b6546412,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,f70bd685d7b0968b11bee2bc815fcadf48a3fa2a5413d0a50eae3033e2a79786,52682752,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,2,L,L_REDSTAR,False,REDSTAR,2863.395729,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,372.087523,914,HEURISTIC_NOT_FOUND,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,4c1620320c056101de7c02ad833ada6bd5dccfb43db7a2c4767428b0140c87fb,367.40744,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,914,0.9849137931034483,HEURISTIC_NOT_FOUND,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,832511ff494f89bfd02bc8f72f6a6050af0b2981a9c51a391815251045e38799,42643456,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,1,L,L_ROR,False,ROR,2071.160081,True
14,356d2a2008970524e2b52b7254d0631fcb20629b5eb70d2f4ef42c01beaf9e30,True,False,372.420671,914,HEURISTIC_NOT_FOUND,14,c8c082ef683b9b39c31ef4bf5c9f1e68878e7f12e3dd1b1de7854533179e064f,False,4c1620320c056101de7c02ad833ada6bd5dccfb43db7a2c4767428b0140c87fb,365.652952,3d6fd9cdfaace55a95c7c6e409e8726d6b0a78c7b42543f4aa276dd19045c048,914,0.9849137931034483,HEURISTIC_NOT_FOUND,da0cf84a2c9ce0f9e41822c671c33efcf335993e869319b997fee1c29292b449,False,f9a9daf9db00c099fbcd2a49d0ece8bc251c82bf1021ec549fdaf788b204252b,832511ff494f89bfd02bc8f72f6a6050af0b2981a9c51a391815251045e38799,42639360,1,True,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,2,L,L_ROR,False,ROR,1945.009212,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,67.585415,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,67.75169,0343794d002fe88b47a9ff41bd6d22cfa8b495c9337832fd06a8935b56f00014,348,0.9886363636363636,HEURISTIC_NOT_FOUND,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,47c438b36a2f35777aa39d1bb082ccbc31cc8978f408fab0312a4857ccfa285c,19587072,2,True,LOWEST_ID_FIRST,LOWEST_ID,1,M,M_RING,False,RING,332.399757,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,69.389309,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,67.406153,0343794d002fe88b47a9ff41bd6d22cfa8b495c9337832fd06a8935b56f00014,348,0.9886363636363636,HEURISTIC_NOT_FOUND,70eb5035e0d06393541df8fe4e13dffaf46c6a83bb81447b78cffddd0ba5545c,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,47c438b36a2f35777aa39d1bb082ccbc31cc8978f408fab0312a4857ccfa285c,19587072,2,True,LOWEST_ID_FIRST,LOWEST_ID,2,M,M_RING,False,RING,335.553641,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,101.217956,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,101.709157,0343794d002fe88b47a9ff41bd6d22cfa8b495c9337832fd06a8935b56f00014,348,0.9886363636363636,HEURISTIC_NOT_FOUND,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,fa91787ccaa443c2e67ffad84e9f8afe098b9d95243532ef6546ef498b356ddb,23089152,2,True,LOWEST_ID_FIRST,LOWEST_ID,1,M,M_REDSTAR,False,REDSTAR,541.120161,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,102.287718,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,100.994366,0343794d002fe88b47a9ff41bd6d22cfa8b495c9337832fd06a8935b56f00014,348,0.9886363636363636,HEURISTIC_NOT_FOUND,ffc63dff8f98f48b6c9b6293a04b4e3575714f320f6bf47b00cfc3194fa62386,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,fa91787ccaa443c2e67ffad84e9f8afe098b9d95243532ef6546ef498b356ddb,23089152,2,True,LOWEST_ID_FIRST,LOWEST_ID,2,M,M_REDSTAR,False,REDSTAR,542.866939,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,93.29759,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,91.680498,0343794d002fe88b47a9ff41bd6d22cfa8b495c9337832fd06a8935b56f00014,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,cfcfe1f610758115caf2d4e35d72ce0bce4abdbe15c376ea59fdec2cfab917d3,18972672,2,True,LOWEST_ID_FIRST,LOWEST_ID,1,M,M_ROR,False,ROR,410.405534,True
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,True,False,97.235061,348,HEURISTIC_NOT_FOUND,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,95.832656,0343794d002fe88b47a9ff41bd6d22cfa8b495c9337832fd06a8935b56f00014,348,0.9886363636363636,HEURISTIC_NOT_FOUND,4b9f93dac65bd84fc1fc0e5b623f953921a6446854ccf760a104133a48406996,False,6af96657d1b5b8245475c7fc276200d909404f9f1ef96733b7fbd3feb7b5e271,cfcfe1f610758115caf2d4e35d72ce0bce4abdbe15c376ea59fdec2cfab917d3,19136512,2,True,LOWEST_ID_FIRST,LOWEST_ID,2,M,M_ROR,False,ROR,458.310737,True
