flow_id,flow_kind,policy_enum,policy_tag,scenario
CMD_PLC_C09_M02_A3_C09_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C11_M04_A1_C11_M04,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C12_M01_A2_C12_M01,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C13_M02_A2_C13_M02,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C13_M03_A1_C13_M03,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C14_M03_A2_C14_M03,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C15_M04_A2_C15_M04,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C16_M03_A1_C16_M03,ControlCommand,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
COORD_CC_C03_PLC_C03_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
COORD_CC_C05_PLC_C05_M01,MachineCoordination,LOWEST_TRAFFIC_FLOWS_FIRST,LOWEST_TRAFFIC,L_REDSTAR
CMD_PLC_C02_M04_A4_C02_M04,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C09_M02_A4_C09_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C11_M04_A2_C11_M04,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C12_M01_A4_C12_M01,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C13_M02_A4_C13_M02,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C13_M03_A4_C13_M03,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C14_M03_A4_C14_M03,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C15_M04_A4_C15_M04,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
CMD_PLC_C16_M03_A3_C16_M03,ControlCommand,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
COORD_CC_C05_PLC_C05_M02,MachineCoordination,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
IC_PREV_CC_C03,InterCellPrevious,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
STAT_PLC_C05_M04,MachineStatus,LOWEST_ID_FIRST,LOWEST_ID,L_REDSTAR
