affected_route_unchanged_count,changed_affected_flow_count,changed_route_flow_count,changed_route_flow_ratio,changed_unaffected_flow_count,changed_unaffected_flow_ratio,extra_unaffected_reroute_fraction,fault_id,hop_delta_total,max_hop_delta,mean_hop_delta_per_changed_flow,new_physical_links_used,p0_route_links_abandoned,rescue_class,scenario_id,total_p0_hops,total_pf_hops,unaffected_route_unchanged_count
0,247,508,0.508,261,0.3466135458167331,0.3466135458167331,l_sw0305_sw0307,599,13,1.1791338582677164,95,23,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84326,492
0,242,536,0.536,294,0.38786279683377306,0.38786279683377306,l_sw0331_sw0333,487,13,0.9085820895522388,98,31,D_RESCUED_WITH_GLOBAL_RELAXATION,S6,83727,84214,464
0,9,311,0.1555,302,0.15168257157207435,0.15168257157207435,l_sw0024_sw0025,-28,70,-0.09003215434083602,13,6,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,172884,1689
0,23,278,0.139,255,0.12898330804248861,0.12898330804248861,l_sw0066_sw0067,-263,28,-0.9460431654676259,8,4,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,172649,1722
0,494,1183,0.5915,689,0.45750332005312083,0.45750332005312083,l_sw0121_sw0123,3888,77,3.286559594251902,17,1,D_RESCUED_WITH_GLOBAL_RELAXATION,S7,172912,176800,817
0,2,373,0.1865,371,0.1856856856856857,0.1856856856856857,l_sw0133_sw0134,-299,71,-0.8016085790884718,8,6,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,172613,1627
0,10,338,0.169,328,0.16482412060301507,0.16482412060301507,l_sw0153_sw0154,103,68,0.3047337278106509,10,7,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,173015,1662
0,4,259,0.1295,255,0.12775551102204408,0.12775551102204408,l_sw0169_sw0170,186,71,0.7181467181467182,8,5,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,173098,1741
0,9,342,0.171,333,0.16725263686589653,0.16725263686589653,l_sw0216_sw0217,362,74,1.0584795321637428,11,2,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,173274,1658
0,507,1136,0.568,629,0.4212993971868721,0.4212993971868721,l_sw0228_sw0230,3642,82,3.2059859154929575,17,1,D_RESCUED_WITH_GLOBAL_RELAXATION,S7,172912,176554,864
0,6,160,0.08,154,0.07723169508525576,0.07723169508525576,l_sw0260_sw0261,190,70,1.1875,14,1,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,173102,1840
0,11,261,0.1305,250,0.1256913021618904,0.1256913021618904,l_sw0334_sw0335,259,74,0.9923371647509579,15,9,C_RESCUED_WITH_MODERATE_RELAXATION,S7,172912,173171,1739
