scenario,policy_id,candidate_group_id,member_count,member_faults,min_jaccard,mean_jaccard,max_edge_distance,mean_path_position_difference,affected_flow_union_count,affected_load_union_bps,shared_synthesis_status,validation_status,accepted,posthoc_mean_recovery_route_jaccard,posthoc_pf_semantic_hash_count
mesh10_auto,J040,G0002,3,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7,0.4,0.5666666666666668,1,1.3333333333333333,5,15200000.0,SAT,PASS,True,0.8324561403508772,3
mesh10_auto,J040,G0004,3,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,0.5,0.6666666666666666,1,1.3333333333333333,4,9600000.0,SAT,PASS,True,0.9607843137254902,2
mesh10_auto,J020,G0001,4,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8;l_sw8_sw9,0.3333333333333333,0.5833333333333334,2,1.6666666666666667,3,7200000.0,SAT,PASS,True,0.8681917211328977,3
mesh10_auto,J020,G0002,4,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7;l_sw7_sw9,0.2,0.4388888888888889,2,1.6666666666666667,5,15200000.0,SAT,PASS,True,0.8227095516569202,4
mesh10_auto,J020,G0004,3,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,0.5,0.6666666666666666,1,1.3333333333333333,4,9600000.0,SAT,PASS,True,0.9607843137254902,2
mesh10_auto,JE080_D0,G0004,2,l_sw2_sw5;l_sw5_sw8,1.0,1.0,0,1.0,3,7200000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE080_D0,G0005,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,JE080_D0,G0006,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE080_D1,G0004,2,l_sw2_sw5;l_sw5_sw8,1.0,1.0,0,1.0,3,7200000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE080_D1,G0005,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,JE080_D1,G0006,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE080_D2,G0004,2,l_sw2_sw5;l_sw5_sw8,1.0,1.0,0,1.0,3,7200000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE080_D2,G0005,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,JE080_D2,G0006,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE060_D0,G0004,2,l_sw2_sw5;l_sw5_sw8,1.0,1.0,0,1.0,3,7200000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE060_D0,G0005,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,JE060_D0,G0006,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE060_D1,G0001,3,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,0.7777777777777777,1,1.3333333333333333,3,7200000.0,SAT,PASS,True,0.9215686274509803,2
mesh10_auto,JE060_D1,G0004,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,JE060_D1,G0005,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE060_D2,G0001,3,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,0.7777777777777777,1,1.3333333333333333,3,7200000.0,SAT,PASS,True,0.9215686274509803,2
mesh10_auto,JE060_D2,G0004,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,JE060_D2,G0005,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE040_D0,G0004,2,l_sw2_sw5;l_sw5_sw8,1.0,1.0,0,1.0,3,7200000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE040_D0,G0005,2,l_sw3_sw4;l_sw4_sw7,0.8,0.8,0,1.0,5,15200000.0,SAT,PASS,True,0.9473684210526315,2
mesh10_auto,JE040_D0,G0006,2,l_sw4_sw6;l_sw6_sw8,1.0,1.0,0,1.0,2,4000000.0,SAT,PASS,True,1.0,1
mesh10_auto,JE040_D1,G0001,3,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,0.7777777777777777,1,1.3333333333333333,3,7200000.0,SAT,PASS,True,0.9215686274509803,2
mesh10_auto,JE040_D1,G0002,3,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7,0.4,0.5666666666666668,1,1.3333333333333333,5,15200000.0,SAT,PASS,True,0.8324561403508772,3
mesh10_auto,JE040_D1,G0004,3,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,0.5,0.6666666666666666,1,1.3333333333333333,4,9600000.0,SAT,PASS,True,0.9607843137254902,2
mesh10_auto,JE040_D2,G0001,3,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,0.7777777777777777,1,1.3333333333333333,3,7200000.0,SAT,PASS,True,0.9215686274509803,2
mesh10_auto,JE040_D2,G0002,3,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7,0.4,0.5666666666666668,1,1.3333333333333333,5,15200000.0,SAT,PASS,True,0.8324561403508772,3
mesh10_auto,JE040_D2,G0004,3,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,0.5,0.6666666666666666,1,1.3333333333333333,4,9600000.0,SAT,PASS,True,0.9607843137254902,2
structured20_auto,J100,G0006,2,l_sw03_sw08;l_sw13_sw18,1.0,1.0,1,2.0,2,4800000.0,SAT,PASS,True,0.8611111111111112,2
structured20_auto,J100,G0009,2,l_sw06_sw07;l_sw07_sw08,1.0,1.0,0,1.0,4,9440000.0,SAT,PASS,True,0.9428571428571428,2
structured20_auto,J100,G0011,2,l_sw08_sw09;l_sw09_sw10,1.0,1.0,0,1.0,3,6560000.0,SAT,PASS,True,0.9166666666666666,2
structured20_auto,J100,G0015,2,l_sw11_sw17;l_sw17_sw18,1.0,1.0,0,1.0,2,4800000.0,SAT,PASS,True,1.0,1
structured20_auto,J100,G0016,2,l_sw13_sw19;l_sw19_sw20,1.0,1.0,0,1.0,2,4320000.0,SAT,PASS,True,0.9354838709677419,2
structured20_auto,J080,G0001,2,l_sw01_sw02;l_sw02_sw03,0.875,0.875,0,1.0,8,15200000.0,SAT,PASS,True,0.8484848484848485,2
structured20_auto,J080,G0005,2,l_sw03_sw08;l_sw13_sw18,1.0,1.0,1,2.0,2,4800000.0,SAT,PASS,True,0.8611111111111112,2
structured20_auto,J080,G0007,2,l_sw04_sw10;l_sw10_sw15,0.8,0.8,0,1.0,5,9920000.0,SAT,PASS,True,0.8333333333333334,2
structured20_auto,J080,G0008,2,l_sw06_sw07;l_sw07_sw08,1.0,1.0,0,1.0,4,9440000.0,SAT,PASS,True,0.9428571428571428,2
structured20_auto,J080,G0010,2,l_sw08_sw09;l_sw09_sw10,1.0,1.0,0,1.0,3,6560000.0,SAT,PASS,True,0.9166666666666666,2
structured20_auto,J080,G0013,2,l_sw11_sw17;l_sw17_sw18,1.0,1.0,0,1.0,2,4800000.0,SAT,PASS,True,1.0,1
structured20_auto,J080,G0014,2,l_sw13_sw19;l_sw19_sw20,1.0,1.0,0,1.0,2,4320000.0,SAT,PASS,True,0.9354838709677419,2
structured20_auto,J060,G0001,2,l_sw01_sw02;l_sw02_sw03,0.875,0.875,0,1.0,8,15200000.0,SAT,PASS,True,0.8484848484848485,2
structured20_auto,J060,G0002,2,l_sw01_sw06;l_sw04_sw05,0.6,0.6,3,4.0,5,9760000.0,SAT,PASS,True,0.8823529411764706,2
structured20_auto,J060,G0005,2,l_sw03_sw08;l_sw13_sw18,1.0,1.0,1,2.0,2,4800000.0,SAT,PASS,True,0.8611111111111112,2
structured20_auto,J060,G0006,2,l_sw04_sw10;l_sw10_sw15,0.8,0.8,0,1.0,5,9920000.0,SAT,PASS,True,0.8333333333333334,2
structured20_auto,J060,G0007,4,l_sw06_sw07;l_sw07_sw08;l_sw08_sw09;l_sw09_sw10,0.75,0.8333333333333334,2,1.6666666666666667,4,9440000.0,SAT,PASS,True,0.8774882024882026,4
structured20_auto,J060,G0011,2,l_sw11_sw17;l_sw17_sw18,1.0,1.0,0,1.0,2,4800000.0,SAT,PASS,True,1.0,1
structured20_auto,J060,G0012,2,l_sw13_sw19;l_sw19_sw20,1.0,1.0,0,1.0,2,4320000.0,SAT,PASS,True,0.9354838709677419,2
structured20_auto,J040,G0001,3,l_sw01_sw02;l_sw02_sw03;l_sw03_sw04,0.5454545454545454,0.6734848484848485,1,1.3333333333333333,11,21120000.0,SAT,PASS,True,0.8401663695781343,3
structured20_auto,J040,G0002,2,l_sw01_sw06;l_sw04_sw05,0.6,0.6,3,4.0,5,9760000.0,SAT,PASS,True,0.8823529411764706,2
structured20_auto,J040,G0003,3,l_sw02_sw08;l_sw13_sw19;l_sw19_sw20,0.5,0.6666666666666666,2,2.0,2,4320000.0,SAT,PASS,True,0.9361559139784946,3
structured20_auto,J040,G0004,3,l_sw03_sw08;l_sw08_sw13;l_sw13_sw18,0.5,0.6666666666666666,1,1.3333333333333333,4,9120000.0,SAT,PASS,True,0.8073073073073074,3
structured20_auto,J040,G0005,2,l_sw04_sw10;l_sw10_sw15,0.8,0.8,0,1.0,5,9920000.0,SAT,PASS,True,0.8333333333333334,2
