scenario,policy_id,candidate_group_id,member_faults,member_count,min_pairwise_jaccard,mean_pairwise_jaccard,max_edge_distance,predicted_profile_count,pre_fault_only
structured20_auto,J100,G0001,l_sw01_sw02,1,1.0,1.0,0,1,True
structured20_auto,J100,G0002,l_sw01_sw06,1,1.0,1.0,0,1,True
structured20_auto,J100,G0003,l_sw02_sw03,1,1.0,1.0,0,1,True
structured20_auto,J100,G0004,l_sw02_sw08,1,1.0,1.0,0,1,True
structured20_auto,J100,G0005,l_sw03_sw04,1,1.0,1.0,0,1,True
structured20_auto,J100,G0006,l_sw03_sw08;l_sw13_sw18,2,1.0,1.0,1,1,True
structured20_auto,J100,G0007,l_sw04_sw05,1,1.0,1.0,0,1,True
structured20_auto,J100,G0008,l_sw04_sw10,1,1.0,1.0,0,1,True
structured20_auto,J100,G0009,l_sw06_sw07;l_sw07_sw08,2,1.0,1.0,0,1,True
structured20_auto,J100,G0010,l_sw06_sw11,1,1.0,1.0,0,1,True
structured20_auto,J100,G0011,l_sw08_sw09;l_sw09_sw10,2,1.0,1.0,0,1,True
structured20_auto,J100,G0012,l_sw08_sw13,1,1.0,1.0,0,1,True
structured20_auto,J100,G0013,l_sw10_sw15,1,1.0,1.0,0,1,True
structured20_auto,J100,G0014,l_sw11_sw16,1,1.0,1.0,0,1,True
structured20_auto,J100,G0015,l_sw11_sw17;l_sw17_sw18,2,1.0,1.0,0,1,True
structured20_auto,J100,G0016,l_sw13_sw19;l_sw19_sw20,2,1.0,1.0,0,1,True
structured20_auto,J100,G0017,l_sw15_sw20,1,1.0,1.0,0,1,True
structured20_auto,J080,G0001,l_sw01_sw02;l_sw02_sw03,2,0.875,0.875,0,1,True
structured20_auto,J080,G0002,l_sw01_sw06,1,1.0,1.0,0,1,True
structured20_auto,J080,G0003,l_sw02_sw08,1,1.0,1.0,0,1,True
structured20_auto,J080,G0004,l_sw03_sw04,1,1.0,1.0,0,1,True
structured20_auto,J080,G0005,l_sw03_sw08;l_sw13_sw18,2,1.0,1.0,1,1,True
structured20_auto,J080,G0006,l_sw04_sw05,1,1.0,1.0,0,1,True
structured20_auto,J080,G0007,l_sw04_sw10;l_sw10_sw15,2,0.8,0.8,0,1,True
structured20_auto,J080,G0008,l_sw06_sw07;l_sw07_sw08,2,1.0,1.0,0,1,True
structured20_auto,J080,G0009,l_sw06_sw11,1,1.0,1.0,0,1,True
structured20_auto,J080,G0010,l_sw08_sw09;l_sw09_sw10,2,1.0,1.0,0,1,True
structured20_auto,J080,G0011,l_sw08_sw13,1,1.0,1.0,0,1,True
structured20_auto,J080,G0012,l_sw11_sw16,1,1.0,1.0,0,1,True
structured20_auto,J080,G0013,l_sw11_sw17;l_sw17_sw18,2,1.0,1.0,0,1,True
structured20_auto,J080,G0014,l_sw13_sw19;l_sw19_sw20,2,1.0,1.0,0,1,True
structured20_auto,J080,G0015,l_sw15_sw20,1,1.0,1.0,0,1,True
structured20_auto,J060,G0001,l_sw01_sw02;l_sw02_sw03,2,0.875,0.875,0,1,True
structured20_auto,J060,G0002,l_sw01_sw06;l_sw04_sw05,2,0.6,0.6,3,1,True
structured20_auto,J060,G0003,l_sw02_sw08,1,1.0,1.0,0,1,True
structured20_auto,J060,G0004,l_sw03_sw04,1,1.0,1.0,0,1,True
structured20_auto,J060,G0005,l_sw03_sw08;l_sw13_sw18,2,1.0,1.0,1,1,True
structured20_auto,J060,G0006,l_sw04_sw10;l_sw10_sw15,2,0.8,0.8,0,1,True
structured20_auto,J060,G0007,l_sw06_sw07;l_sw07_sw08;l_sw08_sw09;l_sw09_sw10,4,0.75,0.8333333333333334,2,1,True
structured20_auto,J060,G0008,l_sw06_sw11,1,1.0,1.0,0,1,True
structured20_auto,J060,G0009,l_sw08_sw13,1,1.0,1.0,0,1,True
structured20_auto,J060,G0010,l_sw11_sw16,1,1.0,1.0,0,1,True
structured20_auto,J060,G0011,l_sw11_sw17;l_sw17_sw18,2,1.0,1.0,0,1,True
structured20_auto,J060,G0012,l_sw13_sw19;l_sw19_sw20,2,1.0,1.0,0,1,True
structured20_auto,J060,G0013,l_sw15_sw20,1,1.0,1.0,0,1,True
structured20_auto,J040,G0001,l_sw01_sw02;l_sw02_sw03;l_sw03_sw04,3,0.5454545454545454,0.6734848484848485,1,1,True
structured20_auto,J040,G0002,l_sw01_sw06;l_sw04_sw05,2,0.6,0.6,3,1,True
structured20_auto,J040,G0003,l_sw02_sw08;l_sw13_sw19;l_sw19_sw20,3,0.5,0.6666666666666666,2,1,True
structured20_auto,J040,G0004,l_sw03_sw08;l_sw08_sw13;l_sw13_sw18,3,0.5,0.6666666666666666,1,1,True
structured20_auto,J040,G0005,l_sw04_sw10;l_sw10_sw15,2,0.8,0.8,0,1,True
structured20_auto,J040,G0006,l_sw06_sw07;l_sw07_sw08;l_sw08_sw09;l_sw09_sw10,4,0.75,0.8333333333333334,2,1,True
structured20_auto,J040,G0007,l_sw06_sw11;l_sw11_sw16,2,0.4,0.4,0,1,True
structured20_auto,J040,G0008,l_sw11_sw17;l_sw17_sw18,2,1.0,1.0,0,1,True
structured20_auto,J040,G0009,l_sw15_sw20,1,1.0,1.0,0,1,True
structured20_auto,J020,G0001,l_sw01_sw02;l_sw01_sw06;l_sw02_sw03;l_sw03_sw04;l_sw04_sw05,5,0.3,0.5144660894660895,3,1,True
