scenario,policy_id,step,left_cluster,right_cluster,merged_members,min_pairwise_jaccard,max_edge_distance,merge_priority,result_candidate_group_id
mesh10_auto,JE060_D2,4,l_sw1_sw2,l_sw2_sw5;l_sw5_sw8,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,1,"[-0.6666666666666666,1,-3,[""l_sw1_sw2"",""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,JE040_D0,1,l_sw2_sw5,l_sw5_sw8,l_sw2_sw5;l_sw5_sw8,1.0,0,"[-1.0,0,-2,[""l_sw2_sw5"",""l_sw5_sw8""]]",G0004
mesh10_auto,JE040_D0,2,l_sw4_sw6,l_sw6_sw8,l_sw4_sw6;l_sw6_sw8,1.0,0,"[-1.0,0,-2,[""l_sw4_sw6"",""l_sw6_sw8""]]",G0006
mesh10_auto,JE040_D0,3,l_sw3_sw4,l_sw4_sw7,l_sw3_sw4;l_sw4_sw7,0.8,0,"[-0.8,0,-2,[""l_sw3_sw4"",""l_sw4_sw7""]]",G0005
mesh10_auto,JE040_D1,1,l_sw2_sw5,l_sw5_sw8,l_sw2_sw5;l_sw5_sw8,1.0,0,"[-1.0,0,-2,[""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,JE040_D1,2,l_sw4_sw6,l_sw6_sw8,l_sw4_sw6;l_sw6_sw8,1.0,0,"[-1.0,0,-2,[""l_sw4_sw6"",""l_sw6_sw8""]]",G0004
mesh10_auto,JE040_D1,3,l_sw3_sw4,l_sw4_sw7,l_sw3_sw4;l_sw4_sw7,0.8,0,"[-0.8,0,-2,[""l_sw3_sw4"",""l_sw4_sw7""]]",G0002
mesh10_auto,JE040_D1,4,l_sw1_sw2,l_sw2_sw5;l_sw5_sw8,l_sw1_sw2;l_sw2_sw5;l_sw5_sw8,0.6666666666666666,1,"[-0.6666666666666666,1,-3,[""l_sw1_sw2"",""l_sw2_sw5"",""l_sw5_sw8""]]",G0001
mesh10_auto,JE040_D1,5,l_sw4_sw6;l_sw6_sw8,l_sw8_sw10,l_sw4_sw6;l_sw6_sw8;l_sw8_sw10,0.5,1,"[-0.5,1,-3,[""l_sw4_sw6"",""l_sw6_sw8"",""l_sw8_sw10""]]",G0004
mesh10_auto,JE040_D1,6,l_sw1_sw3,l_sw3_sw4;l_sw4_sw7,l_sw1_sw3;l_sw3_sw4;l_sw4_sw7,0.4,1,"[-0.4,1,-3,[""l_sw1_sw3"",""l_sw3_sw4"",""l_sw4_sw7""]]",G0002
