scenario,policy_id,fault_id,class_id,class_type,class_size,per_failure_tt_lost,approximate_tt_lost,tt_loss_delta,per_failure_deadline_miss,approximate_deadline_miss,deadline_miss_delta,per_failure_recovery_us,approximate_recovery_us,recovery_delta_us,validation_pass,validation_reused,source_validation_hash
mesh10_auto,J040,l_sw8_sw10,C0004,SHARED,3,0,0,0,0,0,0,55.071999999999996,55.071999999999996,0.0,True,True,4fcc4498cf5931fed9304f179bf41fb56ebedb84e9908f228b852c718736db48
mesh10_auto,J040,l_sw8_sw9,C0006,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,True,936f3a288fbe3efb890384604ca084870f0dc38cca064cac600d04eed37a4e9d
mesh10_auto,J020,l_sw1_sw2,C0001,SHARED,4,0,0,0,0,0,0,54.912,54.912,0.0,True,True,47717f5cf4f3df3705011b1d4e34da8743625071533b47e49438dd8f665ae711
mesh10_auto,J020,l_sw1_sw3,C0002,SHARED,4,0,0,0,0,0,0,120.16,120.16,0.0,True,True,a81adf0f20ea8c514e147e4f575e019fe475425887800ebfbf52d2f69c7b7e37
mesh10_auto,J020,l_sw2_sw3,C0003,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,True,11eb9665ab5333a3c201ec821ddb495cbf342698330a795a9a94e6890eda9445
mesh10_auto,J020,l_sw2_sw5,C0001,SHARED,4,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d58f1a5f949dfb53ad8eb23f742f08f46a32ec76b326b459300a1f6006b4b5b0
mesh10_auto,J020,l_sw3_sw4,C0002,SHARED,4,0,0,0,0,0,0,107.728,107.728,0.0,True,True,816d30073846216a7c71346a988e76a84d235f37341d5fc1adf0980e059a4e0b
mesh10_auto,J020,l_sw4_sw6,C0004,SHARED,3,0,0,0,0,0,0,141.328,141.328,0.0,True,True,8046f969464c4a751b4e507effa628119156155117aec0a51d51b294a2269b22
mesh10_auto,J020,l_sw4_sw7,C0002,SHARED,4,0,0,0,0,0,0,84.528,84.528,0.0,True,True,57e2c5aee2f257f87e7629a176fa50894599608c07ebb257a89b9f7d69aff389
mesh10_auto,J020,l_sw5_sw8,C0001,SHARED,4,0,0,0,0,0,0,54.912,54.912,0.0,True,True,b992ff912a0db7507f02a92b95f3c189606bea64193c85aa326bd26f6a9378f7
mesh10_auto,J020,l_sw6_sw8,C0004,SHARED,3,0,0,0,0,0,0,141.328,141.328,0.0,True,True,86174573c38ac89af60e58db1d1c13026b2795c438362364f8d3aad6f84afe06
mesh10_auto,J020,l_sw7_sw9,C0002,SHARED,4,0,0,0,0,0,0,84.528,84.528,0.0,True,True,3d6bfc279d0133328ef19a98f6d47fc4479ee70242111ccf64471cc5c8e93355
mesh10_auto,J020,l_sw8_sw10,C0004,SHARED,3,0,0,0,0,0,0,55.071999999999996,55.071999999999996,0.0,True,True,4fcc4498cf5931fed9304f179bf41fb56ebedb84e9908f228b852c718736db48
mesh10_auto,J020,l_sw8_sw9,C0001,SHARED,4,0,0,0,0,0,0,54.912,54.912,0.0,True,True,49ee6327025fcb02c859da31f00f5f108b0337ba00cc3c88f4b5aa61cb1da2ea
mesh10_auto,JE080_D0,l_sw1_sw2,C0001,SINGLETON,1,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d3ff52f77535536654e0042444b382ba020d2ad95034afb337fd032c97af0839
mesh10_auto,JE080_D0,l_sw1_sw3,C0002,SINGLETON,1,0,0,0,0,0,0,120.16,120.16,0.0,True,True,fbd10165afae342cbe067118efec6c3db937eade5cef51ff4a6b95440bdda343
mesh10_auto,JE080_D0,l_sw2_sw3,C0003,SINGLETON,1,0,0,0,0,0,0,107.728,107.728,0.0,True,True,11eb9665ab5333a3c201ec821ddb495cbf342698330a795a9a94e6890eda9445
mesh10_auto,JE080_D0,l_sw2_sw5,C0004,SHARED,2,0,0,0,0,0,0,54.912,54.912,0.0,True,True,d58f1a5f949dfb53ad8eb23f742f08f46a32ec76b326b459300a1f6006b4b5b0
mesh10_auto,JE080_D0,l_sw3_sw4,C0005,SHARED,2,0,0,0,0,0,0,107.728,107.728,0.0,True,True,4de89d05e15de06a24fc6af064d497703bb528a2d16019feb1fbab61bad60ab0
