level,kind,policy_id,case_id,route_hash,hop_count
R1_CURRENT,CLASS,J100,l_sw05_sw06;l_sw06_sw07,5e0a5c39037e98eb4412c5b25079036c590cc975e13885cd87e53687ba9a500b,224
R1_CURRENT,CLASS,J100,l_sw05_sw13,48bcc26bc02b86f80468504fa65823b726c799e9fca5c8e4a83380fe95bf7fb0,240
R1_CURRENT,CLASS,J100,l_sw07_sw15,e3959e857e9d36e374f382b89660fe2aa31fec6936e7efa2f617b47eca70a24a,234
R1_CURRENT,CLASS,J100,l_sw09_sw10;l_sw10_sw11,1ece6dd2314ed069ca68a7d9e19e68d143d417babeb36ca7cc2141bd82f3aa69,226
R1_CURRENT,CLASS,J100,l_sw09_sw17,e6cd7306d0ffea13a5c8ec5cd69204c44a3c523874c20595e11352da3a3d492d,232
R1_CURRENT,CLASS,J100,l_sw11_sw12;l_sw12_sw13,fe1df0f6d54bf7cd3a07a1366b6d646f72018f0797cf75be8a103b320b5e179a,224
R1_CURRENT,CLASS,J100,l_sw11_sw19,895e749e842c08a0de16d1378995425fa0e6650029776ec6f4f87e29b3111326,244
R1_CURRENT,CLASS,J100,l_sw13_sw14;l_sw14_sw15,1c1e85f17cd220b3235743b43f8c3441e5c737d5b5fbe6a08353d793675e6245,226
R1_CURRENT,CLASS,J100,l_sw13_sw21,2126e53677930a39c1f914d5479b64e8b05dc93ee59ad43422a24f92d299c56e,242
R1_CURRENT,CLASS,J100,l_sw15_sw23,bebddf6b34b6567b29e79ccdf6d4bdad5685be90b3cfc3c8993626400a9a6375,236
R1_CURRENT,CLASS,J100,l_sw17_sw18;l_sw18_sw19,7a6de5d870b3abae414891bf6745f8db4b2d4236c6ba1abb97a63b53cf9dd5a5,232
R1_CURRENT,CLASS,J100,l_sw17_sw25,57f0026772788d3625d29cc4cb1711543fde0306e5bf4ffc1ca22783c4e63a24,232
R1_CURRENT,CLASS,J100,l_sw19_sw20;l_sw20_sw21,52bf7ff90d842001a62e0836f04423e24fd0062e8216f109511265d6ca35769f,230
R1_CURRENT,CLASS,J100,l_sw19_sw27,c94873ef89d91a4d3502eb8d1666f4ed96069f836294e93da263f7455b0e6b50,244
R1_CURRENT,CLASS,J100,l_sw21_sw22;l_sw22_sw23,f1bc53ab3809893cd2ec4a2ae510d75f662d139c1669c72ce7614e1f77af083e,232
R1_CURRENT,CLASS,J100,l_sw21_sw29,53c440b03ff2a1ee52699b01d4ff3390e6de01d42ec7e0ee6017fa26f2b40d45,240
R1_CURRENT,CLASS,J100,l_sw23_sw31,974d07d3f7154474a7bb6ae527eb09a80c975129c15954418ee3fdfd0d6596a6,240
R1_CURRENT,CLASS,J100,l_sw25_sw33,43152beddc8041c25c7550e142e8fbaa0665c72e28611c59624877af83e019b3,236
R1_CURRENT,CLASS,J100,l_sw27_sw35,04f5f401c08e9703c676f9914025d0d62631ecf4a8efb35e661b4744b4724821,240
R1_CURRENT,CLASS,J100,l_sw29_sw37,3e3cbecaa130ee85d9d4ca808494b1bbd76202533ea1d087e7980122e3a68b5a,240
R1_CURRENT,CLASS,J100,l_sw31_sw39,5722b700bcd682bfc99501a9e1682810e38653e058cf7b61b43d8679bae174af,238
R2_D4,PF,PF,l_sw01_sw02,aae2731ec2ceb84bc235c2905844dbe4dcf2f2469d05a6aef8f0c60fe46bb8d6,224
R2_D4,PF,PF,l_sw01_sw09,5a13815363fda59aa6032a9192209aa9044fc39f9065b93d9a44ea57186f1e1c,234
R2_D4,PF,PF,l_sw02_sw03,64a49c1d1a4b035e3a3448257f8acd256ccbf22d08bec51457022cd97af39cee,224
R2_D4,PF,PF,l_sw03_sw04,a8c68ad2869881c222d63c6141971fa68018958effc197ab2f56db9db2e20422,226
R2_D4,PF,PF,l_sw03_sw11,9971b114ea958962da52fa42895b58b2bf987c038d77fedaaa507ad45e9b57a0,238
