level,connectivity_margin_mean,connectivity_margin_min,fault_id,graph_connected,profile_bytes,raw_status,recovery_hop_count,recovery_route_hash,semantic_profile_hash,smt_solver_wall_us,status,affected_flow_count
R1_CURRENT,2.75,2,l_sw02_sw03,True,57205,SAT,224,e55cea81ffca36445ad85e2142fa82ed4a53caf3764d2594ab4743010e17ebe4,e5646ec158d3ea42dd3fc46b99866704d0fb235307a8c834118b19c6ac0a00bf,580451.738,SAT,4
R1_CURRENT,3,2,l_sw03_sw04,True,56653,SAT,226,fe03a59c8c5b108082ce96953ccd46177a1739a46e53c66df7843cb99f64027e,1f042994f72012e3566da73ad3cd3daba79299b4746829bda2d6ae13789b8ebf,600606.835,SAT,4
R1_CURRENT,2.75,2,l_sw03_sw11,True,60173,SAT,238,9971b114ea958962da52fa42895b58b2bf987c038d77fedaaa507ad45e9b57a0,70896423888ca3d3460647c1f35ec6f71326d20371f1079f4d6823914f282cce,668156.566,SAT,4
R1_CURRENT,3,3,l_sw04_sw05,True,56647,SAT,226,359ef4a9a13aa448cf66c304bcfb9782619aa69784b82310f7bb6c1c8a08bbf3,805a6dfe73f198a49ba702129c7bc4e54d178f6b3b6815dd448582d7b6c52735,594531.596,SAT,4
R1_CURRENT,3,3,l_sw05_sw06,True,56636,SAT,224,2bece2d3d1208b32041096ee2a43018a40e585b69139588fd1b7443da7d59b4a,9d4cb1f3348d303d952a9cad31eb0f986170f410c221bdaa3edb8088e5aba708,592370.172,SAT,4
R1_CURRENT,3,3,l_sw05_sw13,True,60394,SAT,240,48bcc26bc02b86f80468504fa65823b726c799e9fca5c8e4a83380fe95bf7fb0,29a8437bdc326436efaf3923a241c4b746631721a90a68282e82d2cfa8d37c40,680759.732,SAT,4
R1_CURRENT,2.75,2,l_sw06_sw07,True,56112,SAT,224,5e0a5c39037e98eb4412c5b25079036c590cc975e13885cd87e53687ba9a500b,f8a88879f576d200af8e991abd9b701232f0b3192900d890252a48b455623148,575031.768,SAT,4
R1_CURRENT,2.75,2,l_sw07_sw15,True,59541,SAT,234,e3959e857e9d36e374f382b89660fe2aa31fec6936e7efa2f617b47eca70a24a,ed6ac04ad11181caad24a73881de88de5352f32eff3893be37025dc3a38ef741,640048.831,SAT,4
R1_CURRENT,2,2,l_sw09_sw10,True,56296,SAT,226,1ece6dd2314ed069ca68a7d9e19e68d143d417babeb36ca7cc2141bd82f3aa69,37d9bc2bc322528e18db04635d6ca66b0d330eb11f04e9f39ed5c1a3cbb10c45,587702.804,SAT,4
R1_CURRENT,2.375,2,l_sw09_sw17,True,59186,SAT,232,e6cd7306d0ffea13a5c8ec5cd69204c44a3c523874c20595e11352da3a3d492d,30d7189ba7d25f6a2f68b92735fad03b1e21411dc74b116f169a45884dd03d1b,632683.738,SAT,8
R1_CURRENT,2.5,2,l_sw10_sw11,True,56285,SAT,226,1ece6dd2314ed069ca68a7d9e19e68d143d417babeb36ca7cc2141bd82f3aa69,37d9bc2bc322528e18db04635d6ca66b0d330eb11f04e9f39ed5c1a3cbb10c45,589575.862,SAT,4
R1_CURRENT,3,2,l_sw11_sw12,True,56540,SAT,224,057669598b5551cf27611d80d41d9426405bcf3056b5e4c0d709eba82e5f4328,d0349f5dd3251b530e7a279482a337d2ef831e28368179283f09a78758d45fb0,573419.219,SAT,4
