affected_flow_count,affected_set_key,fault_count,fault_ids,scenario,selected_by_mode
8,a7a34ce4e61f4a030620c7f1f92694e495cc96fe5209a0ba5c9fe25384c69915,1,l_SW_C01_M03_ACT_SW_C01_M03_CTRL,M_RING,True
8,af42f5ee488dd76f8365d96e9eeca77ed55c6d497300011c67372fbb5a407166,1,l_SW_C02_CC_SW_C02_M01_ACT,M_RING,True
12,b157e9da69304c4e97440a35ec2613c257a713cbe53889909a84e0c32fe79441,1,l_SW_C06_M01_ACT_SW_C06_M01_CTRL,M_RING,True
2,b507317c60eceeb13ab142678a9cdaeffb5060d9380605eff84a0f442e7f79cd,1,l_SW_C06_M03_SENS_SW_C07_CC,M_RING,True
8,bf033301ec3d631908e6e28b956b8983b9396b46402a72d81a1b74f6e18f1b14,1,l_SW_C07_M03_ACT_SW_C07_M03_CTRL,M_RING,True
10,c4965534108718760587fb254f68b4f76466e308a5110f33b82e0bee7642ccda,1,l_SW_C02_M02_ACT_SW_C02_M02_CTRL,M_RING,True
10,c55d0cc1d1bb8162f4360f97d4f2753347f0d25eca4005aa20e86907df966afe,1,l_SW_C03_M03_CTRL_SW_C03_M03_SENS,M_RING,True
2,c80b685401104f3664061993a3fb75f6df7b6cfc7e76e70b154439abf2621ceb,1,l_SW_C01_M03_SENS_SW_C02_CC,M_RING,True
12,c9ca70e1182a4170550e17c5e4b862ff047df20f81e8827fd0238136e7490f6a,1,l_SW_C04_M01_ACT_SW_C04_M01_CTRL,M_RING,True
12,cb924e56cf879e735301a92fc4dace1931b0b401c37e2cd9f09edf8b24d82abc,1,l_SW_C07_M01_ACT_SW_C07_M01_CTRL,M_RING,True
8,cc713b32b454f978bb8116535d42fc12e272138ef1c4de288ba1991d9fa19090,1,l_SW_C04_CC_SW_C04_M01_ACT,M_RING,True
10,cf4594c2d325e5592573a6517fb09fab617296bb85bd6f1d5c92993fe05246f0,1,l_SW_C03_M02_ACT_SW_C03_M02_CTRL,M_RING,True
10,d6950271f8dfe77cd558b6f0db6c2d927db870350862a82da4cca2fa19791a4e,1,l_SW_C04_M02_ACT_SW_C04_M02_CTRL,M_RING,True
6,d78608132d4434d614fa474920eb1c06cb075f7a7bd6ae776fd5b1b19ebf9900,1,l_SW_C01_M01_SENS_SW_C01_M02_ACT,M_RING,True
4,d7aff3c43cef6f0e1173949229b644dd3b4d8e0dcf6c7d936b46d0fca111b443,1,l_SW_C04_M02_SENS_SW_C04_M03_ACT,M_RING,True
12,d7f14e9c4c288932d88f198a737ea70c82815207b1f8ae6967a2f5102c53e11f,1,l_SW_C01_M02_CTRL_SW_C01_M02_SENS,M_RING,True
12,dc18520b3e8b3816fab68a4d3bb9796154b1234608bf54c64428149a7d800afb,1,l_SW_C08_M02_CTRL_SW_C08_M02_SENS,M_RING,True
14,e53e490412ed3e99364e8fb9aae74bc06de504181b0dc859b1fa2873acfb388c,1,l_SW_C03_M01_CTRL_SW_C03_M01_SENS,M_RING,True
6,e854e8f033e1bada5f613a93df4694e3b09049f39f642ec0d80934da8c2cb91e,1,l_SW_C06_M01_SENS_SW_C06_M02_ACT,M_RING,True
4,ed40be32446a6ac1f0519d85c0f35523fbc7e195617a967026ecbab3e7b311f4,1,l_SW_C06_M02_SENS_SW_C06_M03_ACT,M_RING,True
12,ef43600273656d0df931294218e714560c14569291c5fddac0bae385c9c94285,1,l_SW_C06_M02_CTRL_SW_C06_M02_SENS,M_RING,True
6,f240ba3ffc2877bfc003431ee9c25d0453e5aad8873d320bed97f64789685fbd,1,l_SW_C03_M01_SENS_SW_C03_M02_ACT,M_RING,True
4,f55b99973322120b3a405e372dde6d9936bd340733524202a2bec539768d3c54,1,l_SW_C05_M02_SENS_SW_C05_M03_ACT,M_RING,True
14,f65b04474b26c95dff1573d69de23cb20ca6a0a410352191b7bd4d9ffae13564,1,l_SW_C08_M01_CTRL_SW_C08_M01_SENS,M_RING,True
12,fb71406ef5576d6a09633fb065f9611f49722887cafdcac8b3ef6134268f9dfa,1,l_SW_C04_M02_CTRL_SW_C04_M02_SENS,M_RING,True
8,fb847dc3da22fcdc403f43d28f16ddb83dc95da79b3ba20528145a747c119aa7,1,l_SW_C05_CC_SW_C05_M01_ACT,M_RING,True
12,fcb8d339b19269c174af9189c0a57b0ca7108bb304f2c41baeabf960cfd3c86d,1,l_SW_C02_M02_CTRL_SW_C02_M02_SENS,M_RING,True
2,fe7c277aff2a4f20653b573287c8fc124cafb314b5dcee57b67d2add61df2383,1,l_SW_C02_M03_SENS_SW_C03_CC,M_RING,True
2,ff658a30e08708f7d6a141cdb41ebf0f74161fc5b54661bb1e49f0e8b1318e56,1,l_SW_C03_M03_SENS_SW_C04_CC,M_RING,True
4,01c4cc89c6eef4b04de8a5aa1e229ed77caf9a459b878561d9413433d9941e77,1,l_SW_C08_CORE_A_SW_C08_M01_ACT,M_REDSTAR,True
8,02d01b0c7219c1e590a0c6ee0517fdc9c34017ce1fe85ab8cfb0cf04e3f83ec4,2,l_SW_C06_CORE_B_SW_C06_M02_CTRL;l_SW_C06_CORE_B_SW_C06_M02_SENS,M_REDSTAR,True
6,030779751b0ab673f3475567de8b5ec59146ac3ef3c6c0f0944bcffc9d3dae59,1,l_SW_C04_CORE_A_SW_C04_M03_CTRL,M_REDSTAR,True
