affected_set_key,fault_ids,group_id,group_size,profile,scenario
219f14be740613e60fa73464b7b686c4b975fc08d476ba75270e761dc5c9b75a,l_SW_C16_CORE_B_SW_C16_M03_CTRL;l_SW_C16_CORE_B_SW_C16_M03_SENS,FG_1514d19b9c3c286ab6d902d69416665f4c6ea0265ddebd0db8b2640afb2a0657,2,True,L_REDSTAR
220b6388e7241a89d3bf7d9c20a95753c53ee97beae69c7dd0227ef77765a300,l_SW_C04_CORE_A_SW_FACTORY_CORE_A,FG_4f0a6396a1510d7b3e1fc296993ed7c7d109e39436d86da47250371dee6d7cf8,1,False,L_REDSTAR
23603b45cc5546530c1777404e2163a82071eba30f7fb3bad28fc8baa25620e6,l_SW_C14_CORE_A_SW_C14_M04_CTRL,FG_e12e05ec10a99422e7da2ad794b676b37479f2c83c649fefee0c311abf331dac,1,False,L_REDSTAR
2371b44cdcad56a1ae6188d59b2449837a9a2b7cdee69168f22c8a097fd00db9,l_SW_C11_CORE_A_SW_C11_M01_ACT,FG_30d7ef87eb5e7dea6b715fbb6bf51ec1b50148adb205172ec7d41ed0ad85bc73,1,False,L_REDSTAR
24ff8eaceba4840d011d5412f8d2cbc44bce49842090aceb92cb6748428c0e23,l_SW_C01_CORE_A_SW_C01_M04_CTRL,FG_8b96052ea30b9af76704708743c4a7f414910d3aa0d9881d2631e3fe69436f15,1,False,L_REDSTAR
26b1c82a733f23a27ee7962b0841c8909de9ae0c9c4c61059a11e04d7c4e93c6,l_SW_C03_CORE_B_SW_C03_M04_CTRL;l_SW_C03_CORE_B_SW_C03_M04_SENS,FG_20502c0ee8e086935ae7ab3f3a15ba6affe9fed97ae54ddf88b9a02c8ac710ce,2,True,L_REDSTAR
26e56ce2f057741af1cc398c88f30b901b438a9fd35fa913914fa43ce89ba228,l_SW_C11_CORE_A_SW_C11_M03_ACT,FG_192fb9c281b5f136924e33e5596f2546b8b42e58ffe459a318c78fe45b282cb9,1,False,L_REDSTAR
28c09f0a1eb9a26df666b198e0a2c9238833a068ec03120ea64bc2c48b0044a5,l_SW_C13_CORE_B_SW_C13_M02_CTRL;l_SW_C13_CORE_B_SW_C13_M02_SENS,FG_c643b2fd205d17860dcf4d2bfa481f1bea813c722064aeb468534c2796042bd0,2,True,L_REDSTAR
2b042f4f74d6fa59095a5e6563f93212964a415ed790d80ab7ef22c15301a7cc,l_SW_C05_CC_SW_C05_CORE_B;l_SW_C05_CORE_B_SW_FACTORY_CORE_A,FG_754ea3663f863db638db3f7f49fca282e417f6c19923072c8ce763cdb9a75ab6,2,True,L_REDSTAR
2c73a9a6c848dc873dfb0a358652448f30d3fe249fb69066c86916e8b41c9858,l_SW_C16_CC_SW_C16_CORE_A,FG_975d6e275d63c2b1c91b697931cf6234d28600647307cf19966cf918db1c2fd1,1,False,L_REDSTAR
2d726b2aa523b7cfb741daa6b4c0c28cc2ee716b9686c4453f341c5365dcf506,l_SW_C02_CORE_B_SW_C02_M02_CTRL;l_SW_C02_CORE_B_SW_C02_M02_SENS,FG_ea2f24a23c6cc2e00e6d6a21a476548170857d3628bfabdfdf99dac3281d4684,2,True,L_REDSTAR
