case_id,scenario,switch_count,case_type,policy_id,optimize_status,feasibility_status,optimize_z3_ms,feasibility_z3_ms,overhead_ratio,consistent
structured60_auto:SHARED:J100:3d24bf3f399b096c,structured60_auto,60,SHARED,J100,SAT,SAT,4927.904098,15.344227,321.15688186834046,True
structured60_auto:SHARED:J100:5331421013021212,structured60_auto,60,SHARED,J100,SAT,SAT,4954.737156,15.252424000000001,324.84916207417257,True
structured60_auto:SHARED:J100:5ed9f14220ec1e69,structured60_auto,60,SHARED,J100,SAT,SAT,3920.9722500000003,14.602934999999999,268.5057661353694,True
structured60_auto:SHARED:J100:6365c9a903430c0a,structured60_auto,60,SHARED,J100,SAT,SAT,4346.068242,15.207668,285.78137305469846,True
structured60_auto:SHARED:J100:7aba9fb12e621338,structured60_auto,60,SHARED,J100,SAT,SAT,4416.216871,15.391902,286.91820354625435,True
structured60_auto:SHARED:J100:acc0955611463d9b,structured60_auto,60,SHARED,J100,SAT,SAT,2634.406055,15.511439,169.83634174753226,True
structured60_auto:SHARED:J100:fdcc4b526eb692b1,structured60_auto,60,SHARED,J100,SAT,SAT,4485.869874,15.393528,291.41272059270625,True
structured80_auto:P0,structured80_auto,80,P0,,SAT,SAT,20146.881376999998,36.75824,548.0915674145442,True
structured80_auto:PF:l_sw01_sw02,structured80_auto,80,PF,,SAT,SAT,13233.182991,36.108768,366.4811546879694,True
structured80_auto:PF:l_sw01_sw17,structured80_auto,80,PF,,SAT,SAT,20959.673769999998,44.003242,476.32112583886425,True
structured80_auto:PF:l_sw01_sw19,structured80_auto,80,PF,,SAT,SAT,13586.254078,34.277614,396.3593871498757,True
structured80_auto:PF:l_sw02_sw03,structured80_auto,80,PF,,SAT,SAT,23004.012379,37.45376,614.1976767886588,True
structured80_auto:PF:l_sw03_sw04,structured80_auto,80,PF,,SAT,SAT,12712.908448,34.052199,373.3359025653527,True
structured80_auto:PF:l_sw03_sw19,structured80_auto,80,PF,,SAT,SAT,18152.64273,33.301127,545.1059578253913,True
structured80_auto:PF:l_sw04_sw05,structured80_auto,80,PF,,SAT,SAT,12129.885640999999,98.186593,123.53912352371773,True
structured80_auto:PF:l_sw05_sw06,structured80_auto,80,PF,,SAT,SAT,13006.24107,32.996096,394.1751493873699,True
structured80_auto:PF:l_sw05_sw21,structured80_auto,80,PF,,SAT,SAT,18377.653857999998,37.072426,495.7229898577449,True
structured80_auto:PF:l_sw05_sw23,structured80_auto,80,PF,,SAT,SAT,19908.991718999998,37.901203,525.2865382399602,True
structured80_auto:PF:l_sw06_sw07,structured80_auto,80,PF,,SAT,SAT,11817.873321000001,33.649141,351.2087669934873,True
structured80_auto:PF:l_sw07_sw08,structured80_auto,80,PF,,SAT,SAT,12327.571962,34.577524999999994,356.51979029731024,True
structured80_auto:PF:l_sw07_sw23,structured80_auto,80,PF,,SAT,SAT,17527.693783,33.525648999999994,522.8144511982454,True
structured80_auto:PF:l_sw08_sw09,structured80_auto,80,PF,,SAT,SAT,18712.503305,34.839777000000005,537.1016957140683,True
structured80_auto:PF:l_sw09_sw10,structured80_auto,80,PF,,SAT,SAT,28005.113894000002,39.128936,715.7136573813302,True
structured80_auto:PF:l_sw09_sw25,structured80_auto,80,PF,,SAT,SAT,18362.182523000003,37.545981,489.0585365980983,True
structured80_auto:PF:l_sw09_sw27,structured80_auto,80,PF,,SAT,SAT,16190.770927,38.905587999999995,416.1554100403264,True
structured80_auto:PF:l_sw10_sw11,structured80_auto,80,PF,,SAT,SAT,12057.457122,33.795438,356.7776550787713,True
structured80_auto:PF:l_sw11_sw12,structured80_auto,80,PF,,SAT,SAT,23224.541893,43.665807,531.8702089486175,True
structured80_auto:PF:l_sw11_sw27,structured80_auto,80,PF,,SAT,SAT,21013.55846,50.896761999999995,412.8663127921576,True
structured80_auto:PF:l_sw12_sw13,structured80_auto,80,PF,,SAT,SAT,11616.94412,94.34465999999999,123.13303286057739,True
structured80_auto:PF:l_sw13_sw14,structured80_auto,80,PF,,SAT,SAT,12537.795601,36.82862,340.4362042617942,True
structured80_auto:PF:l_sw13_sw29,structured80_auto,80,PF,,SAT,SAT,19991.996757,51.325713,389.5123046220517,True
structured80_auto:PF:l_sw13_sw31,structured80_auto,80,PF,,SAT,SAT,22409.695937999997,40.016524,560.0110578819889,True
structured80_auto:PF:l_sw14_sw15,structured80_auto,80,PF,,SAT,SAT,19403.351565,39.133035,495.8304809478744,True
structured80_auto:PF:l_sw15_sw31,structured80_auto,80,PF,,SAT,SAT,13507.507051999999,36.212824999999995,373.00340561665655,True
