case_id,scenario,switch_count,case_type,policy_id,tt_flow_count,controlled_hop_count,total_symbolic_var_count,total_hard_constraint_count,non_overlap_constraint_count,contention_pair_count,max_flows_per_egress,z3_check_wall_ms,status,repeat_count
structured30_auto:PF:l_sw16_sw17,structured30_auto,30,PF,,30,124,125,544,111,111,5,301.808214,SAT,1
structured30_auto:PF:l_sw17_sw23,structured30_auto,30,PF,,30,132,133,587,130,130,7,333.10135099999997,SAT,1
structured30_auto:PF:l_sw19_sw25,structured30_auto,30,PF,,30,128,129,527,82,82,5,315.839825,SAT,1
structured30_auto:PF:l_sw21_sw27,structured30_auto,30,PF,,30,128,129,531,86,86,5,312.484337,SAT,1
structured30_auto:PF:l_sw23_sw29,structured30_auto,30,PF,,30,132,133,564,107,107,5,336.09316,SAT,1
structured30_auto:SHARED:J020:2052020b308ed48e,structured30_auto,30,SHARED,J020,30,124,125,544,111,111,5,304.451764,SAT,1
structured30_auto:SHARED:J020:3a708f98397b66b7,structured30_auto,30,SHARED,J020,30,136,137,565,96,96,5,345.168437,SAT,1
structured30_auto:SHARED:J020:891d73073322397d,structured30_auto,30,SHARED,J020,30,128,129,534,89,89,5,311.132123,SAT,1
structured30_auto:SHARED:J020:90b63833437b75c4,structured30_auto,30,SHARED,J020,30,132,133,577,120,120,7,335.846729,SAT,1
structured30_auto:SHARED:J020:bf7aa4a605c129a1,structured30_auto,30,SHARED,J020,30,128,129,545,100,100,5,312.19427,SAT,1
structured30_auto:SHARED:J020:cad9d75b17feeb02,structured30_auto,30,SHARED,J020,30,138,139,579,104,104,5,354.40866,SAT,1
structured30_auto:SHARED:J020:e30ea73005e87a9a,structured30_auto,30,SHARED,J020,30,134,135,575,112,112,5,341.072791,SAT,1
structured30_auto:SHARED:J020:e82fd19b6aa2aca2,structured30_auto,30,SHARED,J020,30,130,131,559,108,108,5,320.734158,SAT,1
structured30_auto:SHARED:J020:fdcc4b526eb692b1,structured30_auto,30,SHARED,J020,30,124,125,540,107,107,5,297.02476,SAT,1
