HNF_count,HNF_set_sha,cover_excess,is_minimum_vertex_cover,is_vertex_cover,mode_or_policy,scenario,source_experiment
4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,0,True,True,SEEDED_TIEBREAK:2,M_REDSTAR,exp18d
4,a4aa6348e2cbde473424d5af738b0a3d75431f73c1c514f2f7ff7a30fc600e3e,0,True,True,SEEDED_TIEBREAK:20,M_REDSTAR,exp18d
4,0068370bccbdc3efd4f779f95b56f399e3715809bb23aa51214b9a2107a321c3,0,True,True,SEEDED_TIEBREAK:21,M_REDSTAR,exp18d
4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,0,True,True,SEEDED_TIEBREAK:22,M_REDSTAR,exp18d
4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,0,True,True,SEEDED_TIEBREAK:23,M_REDSTAR,exp18d
4,78a64846bef3f5100d9ade4a5a8435e47c224ebac85e92135e51c4492aa7f1a1,0,True,True,SEEDED_TIEBREAK:24,M_REDSTAR,exp18d
4,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,0,True,True,SEEDED_TIEBREAK:25,M_REDSTAR,exp18d
4,78a64846bef3f5100d9ade4a5a8435e47c224ebac85e92135e51c4492aa7f1a1,0,True,True,SEEDED_TIEBREAK:26,M_REDSTAR,exp18d
4,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,0,True,True,SEEDED_TIEBREAK:27,M_REDSTAR,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:28,M_REDSTAR,exp18d
4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,0,True,True,SEEDED_TIEBREAK:29,M_REDSTAR,exp18d
4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,0,True,True,SEEDED_TIEBREAK:3,M_REDSTAR,exp18d
4,78a64846bef3f5100d9ade4a5a8435e47c224ebac85e92135e51c4492aa7f1a1,0,True,True,SEEDED_TIEBREAK:30,M_REDSTAR,exp18d
4,20bf4874caa368437c6adc924e7d1795e755ced08300a65b450e51bdf024160b,0,True,True,SEEDED_TIEBREAK:31,M_REDSTAR,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:4,M_REDSTAR,exp18d
4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,0,True,True,SEEDED_TIEBREAK:5,M_REDSTAR,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:6,M_REDSTAR,exp18d
4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,0,True,True,SEEDED_TIEBREAK:7,M_REDSTAR,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:8,M_REDSTAR,exp18d
4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,0,True,True,SEEDED_TIEBREAK:9,M_REDSTAR,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,LOWEST_ID,M_REDSTAR,exp18f
4,37d42ec59bc26851fc0c89e4f9d561433cc14dd228601f67b3d1e4e52b51c906,0,True,True,LOWEST_TRAFFIC,M_REDSTAR,exp18f
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,LOW_PERIOD,M_REDSTAR,exp18f
4,3cef8f64eb6f30c3aabfce8a90e0e66de187609194b7f4450f84eefe1857ec52,0,True,True,SOURCE_NODE,M_REDSTAR,exp18f
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,H2S_FORMAL_D100,M_RING,baseline
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,BASELINE:0,M_RING,exp18d
4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,0,True,True,SEEDED_TIEBREAK:0,M_RING,exp18d
4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,0,True,True,SEEDED_TIEBREAK:1,M_RING,exp18d
4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,0,True,True,SEEDED_TIEBREAK:10,M_RING,exp18d
4,1f5a4c2dd5ee42535c244e448f0723e711e968cee52694aa97e441169cd3bbfb,0,True,True,SEEDED_TIEBREAK:11,M_RING,exp18d
4,81e354278a0288a8c0ef026dfa03a45661619422bce503e5ef2d78318e76cc97,0,True,True,SEEDED_TIEBREAK:12,M_RING,exp18d
4,5cdca2ba49ac29aa76fc3e77603949412fb614ec461ddda2f153cb16d7da14f1,0,True,True,SEEDED_TIEBREAK:13,M_RING,exp18d
4,0068370bccbdc3efd4f779f95b56f399e3715809bb23aa51214b9a2107a321c3,0,True,True,SEEDED_TIEBREAK:14,M_RING,exp18d
4,a4aa6348e2cbde473424d5af738b0a3d75431f73c1c514f2f7ff7a30fc600e3e,0,True,True,SEEDED_TIEBREAK:15,M_RING,exp18d
