component_count,density,graph_edges,graph_vertices,mvc_exact,mvc_lower_bound,mvc_size,mvc_upper_bound,one_minimum_cover_flow_ids,scale,scenario,solver_method,solver_ms,topology
277,D080,1,278,True,1,1,1,CMD_PLC_C06_M02_A1_C06_M02,M,M_RING,COMPONENTWISE_EXACT,0.054,RING
277,D080,1,278,True,1,1,1,CMD_PLC_C06_M02_A1_C06_M02,M,M_REDSTAR,COMPONENTWISE_EXACT,0.058,REDSTAR
277,D080,1,278,True,1,1,1,CMD_PLC_C06_M02_A1_C06_M02,M,M_ROR,COMPONENTWISE_EXACT,0.055,ROR
729,D080,9,738,True,9,9,9,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_RING,COMPONENTWISE_EXACT,0.158,RING
729,D080,9,738,True,9,9,9,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_REDSTAR,COMPONENTWISE_EXACT,0.164,REDSTAR
729,D080,9,738,True,9,9,9,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;CMD_PLC_C16_M03_A1_C16_M03;COORD_CC_C05_PLC_C05_M01,L,L_ROR,COMPONENTWISE_EXACT,0.17,ROR
243,D070,0,243,True,0,0,0,,M,M_RING,COMPONENTWISE_EXACT,0.041,RING
243,D070,0,243,True,0,0,0,,M,M_REDSTAR,COMPONENTWISE_EXACT,0.044,REDSTAR
243,D070,0,243,True,0,0,0,,M,M_ROR,COMPONENTWISE_EXACT,0.042,ROR
639,D070,8,647,True,8,8,8,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;COORD_CC_C05_PLC_C05_M01,L,L_RING,COMPONENTWISE_EXACT,0.136,RING
639,D070,8,647,True,8,8,8,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;COORD_CC_C05_PLC_C05_M01,L,L_REDSTAR,COMPONENTWISE_EXACT,0.144,REDSTAR
639,D070,8,647,True,8,8,8,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;CMD_PLC_C13_M03_A1_C13_M03;CMD_PLC_C14_M03_A2_C14_M03;COORD_CC_C05_PLC_C05_M01,L,L_ROR,COMPONENTWISE_EXACT,0.136,ROR
207,D060,0,207,True,0,0,0,,M,M_RING,COMPONENTWISE_EXACT,0.036,RING
207,D060,0,207,True,0,0,0,,M,M_REDSTAR,COMPONENTWISE_EXACT,0.037,REDSTAR
207,D060,0,207,True,0,0,0,,M,M_ROR,COMPONENTWISE_EXACT,0.04,ROR
547,D060,6,553,True,6,6,6,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;COORD_CC_C05_PLC_C05_M01,L,L_RING,COMPONENTWISE_EXACT,0.118,RING
547,D060,6,553,True,6,6,6,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;COORD_CC_C05_PLC_C05_M01,L,L_REDSTAR,COMPONENTWISE_EXACT,0.132,REDSTAR
547,D060,6,553,True,6,6,6,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;CMD_PLC_C09_M02_A3_C09_M02;CMD_PLC_C11_M04_A1_C11_M04;CMD_PLC_C12_M01_A2_C12_M01;COORD_CC_C05_PLC_C05_M01,L,L_ROR,COMPONENTWISE_EXACT,0.117,ROR
176,D050,0,176,True,0,0,0,,M,M_RING,COMPONENTWISE_EXACT,0.032,RING
176,D050,0,176,True,0,0,0,,M,M_REDSTAR,COMPONENTWISE_EXACT,0.03,REDSTAR
176,D050,0,176,True,0,0,0,,M,M_ROR,COMPONENTWISE_EXACT,0.03,ROR
461,D050,3,464,True,3,3,3,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C05_PLC_C05_M01,L,L_RING,COMPONENTWISE_EXACT,0.091,RING
461,D050,3,464,True,3,3,3,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C05_PLC_C05_M01,L,L_REDSTAR,COMPONENTWISE_EXACT,0.093,REDSTAR
461,D050,3,464,True,3,3,3,CMD_PLC_C06_M02_A1_C06_M02;CMD_PLC_C06_M02_A3_C06_M02;COORD_CC_C05_PLC_C05_M01,L,L_ROR,COMPONENTWISE_EXACT,0.094,ROR
