density,fixed_release,fixed_release_parity,flow_id,flow_kind,frame_size,frame_size_parity,frames_per_hyper_cycle,parity_pass,period_parity,period_ticks,relative_deadline_parity,relative_deadline_ticks,release_offset_parity,release_offset_ticks,scenario,transmission_ticks,transmission_ticks_parity,upstream_input
D070,True,True,CMD_PLC_C07_M03_A4_C07_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,402,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C08_M01_A1_C08_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,579,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C08_M01_A3_C08_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,922,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C08_M01_A4_C08_M01,ControlCommand,1375,True,16,True,True,5000,True,4000,True,372,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C08_M02_A1_C08_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,911,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C08_M02_A2_C08_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,153,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C08_M02_A3_C08_M02,ControlCommand,1375,True,16,True,True,5000,True,4000,True,704,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,CMD_PLC_C08_M03_A2_C08_M03,ControlCommand,1375,True,16,True,True,5000,True,4000,True,30,M_RING,11,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C01_PLC_C01_M01,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,908,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C01_PLC_C01_M02,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,427,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C01_PLC_C01_M03,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,2569,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C02_PLC_C02_M02,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,3126,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C03_PLC_C03_M03,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,6652,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C04_PLC_C04_M01,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,945,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C04_PLC_C04_M02,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,2224,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C05_PLC_C05_M03,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,4229,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C06_PLC_C06_M01,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,7838,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C06_PLC_C06_M02,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,1006,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C06_PLC_C06_M03,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,7395,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C07_PLC_C07_M01,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,455,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
D070,True,True,COORD_CC_C07_PLC_C07_M02,MachineCoordination,3250,True,2,True,True,40000,True,30000,True,2480,M_RING,26,True,results/h2s_admission_placement_diagnostic/raw_trace/M_RING_D070/trace_on_repeat_1/backend_input/scenario.json
