load_imbalance_ratio,lower_bound_ms,lpt_makespan_ms,lpt_to_lower_bound,max_worker_load,min_worker_load,parallel_efficiency,scope,serial_work_ms,speedup,workers
1.0003255188454094,51647.898768625,51664.71113299998,1.0003255188454094,51664.71113299998,51620.185879,0.9996745870826277,L_RING,413183.190149,7.9973966966610215,8
1.0015542521049041,25823.9493843125,25864.086312000003,1.0015542521049041,25864.086312000003,25757.605959,0.9984481598459218,L_RING,413183.190149,15.97517055753475,16
1.0588177084412271,12911.97469215625,13671.427455,1.0588177084412271,13671.427455,12175.286973,0.9444496366349808,L_RING,413183.190149,30.222388372319386,32
0.9999999999999998,547096.3533590001,547096.353359,0.9999999999999998,547096.353359,547096.353359,1.0000000000000002,L_REDSTAR,547096.3533590001,1.0000000000000002,1
1.0000092846990642,273548.17667950003,273550.7164920001,1.0000092846990642,273550.7164920001,273545.63686700014,0.9999907153871405,L_REDSTAR,547096.3533590001,1.999981430774281,2
1.0051889692255667,136774.08833975001,137483.8048749999,1.0051889692255667,137483.8048749999,136065.764065,0.9948378171822115,L_REDSTAR,547096.3533590001,3.979351268728846,4
1.0052445467044033,68387.04416987501,68745.70321700002,1.0052445467044033,68745.70321700002,67321.17081,0.9947828150656502,L_REDSTAR,547096.3533590001,7.958262520525202,8
1.0173630243643146,34193.522084937504,34787.225042000005,1.0173630243643146,34787.225042000005,33380.38051,0.9829333050754782,L_REDSTAR,547096.3533590001,15.72693288120765,16
1.0422518711431283,17096.761042468752,17819.131187,1.0422518711431283,17819.131187,16421.245084,0.9594609783748461,L_REDSTAR,547096.3533590001,30.702751307995076,32
1.0,267246.367752,267246.367752,1.0,267246.367752,267246.367752,1.0,L_ROR,267246.367752,1.0,1
1.003603422475301,133623.183876,134104.68466000006,1.003603422475301,134104.68466000006,133141.683092,0.9964095155570379,L_ROR,267246.367752,1.9928190311140759,2
1.003843649800147,66811.591938,67068.39229999999,1.003843649800147,67068.39229999999,66073.29688499999,0.9961710672763511,L_ROR,267246.367752,3.9846842691054043,4
1.0038708133199399,33405.795969,33535.103569,1.0038708133199399,33535.103569,32539.45517500001,0.9961441121022947,L_ROR,267246.367752,7.969152896818358,8
1.0041642114778253,16702.8979845,16772.452384,1.0041642114778253,16772.452384,15768.013755,0.9958530572686942,L_ROR,267246.367752,15.933648916299108,16
1.0048889590043466,8351.44899225,8392.278884000001,1.0048889590043466,8392.278884000001,7377.99261,0.9951348266288143,L_ROR,267246.367752,31.844314452122056,32
0.9999999999999994,1371696.927864,1371696.9278639993,0.9999999999999994,1371696.9278639993,1371696.9278639993,1.0000000000000004,POOLED_ALL_SCENARIOS,1371696.927864,1.0000000000000004,1
1.000059285731674,685848.463932,685889.1249600016,1.000059285731674,685889.1249600016,685807.8029039991,0.9999407177829158,POOLED_ALL_SCENARIOS,1371696.927864,1.9998814355658316,2
1.000168895711067,342924.231966,342982.150398,1.000168895711067,342982.150398,342808.02205599984,0.999831132809877,POOLED_ALL_SCENARIOS,1371696.927864,3.999324531239508,4
1.0003754464922519,171462.115983,171526.4908329999,1.0003754464922519,171526.4908329999,171348.229608,0.9996246944149135,POOLED_ALL_SCENARIOS,1371696.927864,7.996997555319308,8
1.001920167175778,85731.0579915,85895.675955,1.001920167175778,85895.675955,85583.332013,0.9980835128000362,POOLED_ALL_SCENARIOS,1371696.927864,15.969336204800578,16
1.003769005983013,42865.52899575,43027.089431,1.003769005983013,43027.089431,42717.667287,0.9962451460838622,POOLED_ALL_SCENARIOS,1371696.927864,31.87984467468359,32
