flow_id,flow_kind,mode,scenario,tie_break_seed
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,19
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,19
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,19
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,19
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,20
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,20
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,20
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,20
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,21
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,21
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_RING,21
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,21
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,22
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,22
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,22
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,22
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,23
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,23
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_RING,23
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,23
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,24
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,24
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_RING,24
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,24
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,25
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,25
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,25
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,25
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,26
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,26
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_RING,26
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,26
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,27
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,27
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,27
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,27
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,28
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,28
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,28
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,28
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,29
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,29
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_RING,29
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,29
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,30
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,30
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_RING,30
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,30
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,31
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_RING,31
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_RING,31
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_RING,31
CMD_PLC_C06_M02_A1_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_REDSTAR,0
CMD_PLC_C06_M02_A4_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_REDSTAR,0
COORD_CC_C05_PLC_C05_M01,MachineCoordination,SEEDED_TIEBREAK,M_REDSTAR,0
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_REDSTAR,0
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_REDSTAR,1
CMD_PLC_C06_M02_A3_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_REDSTAR,1
COORD_CC_C05_PLC_C05_M02,MachineCoordination,SEEDED_TIEBREAK,M_REDSTAR,1
IC_PREV_CC_C03,InterCellPrevious,SEEDED_TIEBREAK,M_REDSTAR,1
CMD_PLC_C06_M02_A2_C06_M02,ControlCommand,SEEDED_TIEBREAK,M_REDSTAR,2
