always_HNF,baseline_completion,baseline_success_regressed,empirical_success_fraction,ever_HNF,first_HNF_seed,first_success_seed,flow_id,flow_kind,period_s,rescued_from_baseline_HNF,scenario,seed_HNF_count,seed_success_count
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C07_PLC_C07_M02,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C07_PLC_C07_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C08_PLC_C08_M01,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C08_PLC_C08_M02,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,COORD_CC_C08_PLC_C08_M03,MachineCoordination,0.004,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C01,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C02,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C03,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C04,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C05,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C06,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C07,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_NEXT_CC_C08,InterCellNext,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_PREV_CC_C01,InterCellPrevious,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_PREV_CC_C02,InterCellPrevious,0.008,False,M_RING,0,32
True,ZERO_SCHEDULED,False,0.0,True,0,,IC_PREV_CC_C03,InterCellPrevious,0.008,False,M_RING,32,0
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_PREV_CC_C04,InterCellPrevious,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_PREV_CC_C05,InterCellPrevious,0.008,False,M_RING,0,32
False,FULLY_SCHEDULED,False,1.0,False,,0,IC_PREV_CC_C06,InterCellPrevious,0.008,False,M_RING,0,32
