CELF_HNF_count,CELF_HNF_set_sha,CELF_attempted,CELF_complete,CELF_ms,CELF_scheduled_count,CELF_status,H2S_HNF_count,H2S_HNF_set_sha,H2S_complete,H2S_ms,H2S_scheduled_count,H2S_status,actual_global_density,actual_global_density_decimal,candidate_vector_sha,density_tag,expected_instances,formal_HNF_count,formal_complete,formal_scheduled_count,formal_status,input_integrity_pass,instance_completion_sha,on_wire_bytes_per_hyperperiod,original_TT_count,peak_RSS,repeat,retained_TT_count,rho_decimal,rho_den,rho_num,scale,scenario,static_checker,topology,total_wall_ms,upstream_verifier
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,448.843751,866,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,442.28446,866,HEURISTIC_NOT_FOUND,879/928,0.9471982758620689655172413793,2604daa63ea29e22074a550106b79f4632658c68928002d4650e8115630bdbaf,D095,9138,13,False,866,HEURISTIC_NOT_FOUND,True,244055b5a0cf9a95b95d46b7ce8e6773c2d2b1c649c8f9e0accdffd1c1c43449,1314432,928,50229248,1,879,0.95,20,19,L,L_REDSTAR,False,REDSTAR,2647.03408,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,446.907894,866,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,441.078774,866,HEURISTIC_NOT_FOUND,879/928,0.9471982758620689655172413793,2604daa63ea29e22074a550106b79f4632658c68928002d4650e8115630bdbaf,D095,9138,13,False,866,HEURISTIC_NOT_FOUND,True,244055b5a0cf9a95b95d46b7ce8e6773c2d2b1c649c8f9e0accdffd1c1c43449,1314432,928,50229248,2,879,0.95,20,19,L,L_REDSTAR,False,REDSTAR,2659.033127,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,341.056105,866,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,346.802194,866,HEURISTIC_NOT_FOUND,879/928,0.9471982758620689655172413793,c26e3312f57bf029a299d73067e9e69f6fac70e635a47aa6253fc2e38cf1cfe4,D095,9138,13,False,866,HEURISTIC_NOT_FOUND,True,9a0a3dd2d403bad3d841ba0f78d02345d50749da11ce0c3bc1438c2a2f67c032,1314432,928,40730624,1,879,0.95,20,19,L,L_ROR,False,ROR,1796.564878,True
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,True,False,346.966861,866,HEURISTIC_NOT_FOUND,13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,False,351.10188,866,HEURISTIC_NOT_FOUND,879/928,0.9471982758620689655172413793,c26e3312f57bf029a299d73067e9e69f6fac70e635a47aa6253fc2e38cf1cfe4,D095,9138,13,False,866,HEURISTIC_NOT_FOUND,True,9a0a3dd2d403bad3d841ba0f78d02345d50749da11ce0c3bc1438c2a2f67c032,1314432,928,40730624,2,879,0.95,20,19,L,L_ROR,False,ROR,1839.415398,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,58.822438,312,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,58.994315,312,HEURISTIC_NOT_FOUND,314/352,0.8920454545454545454545454545,2c300762f271c9ef4b2bff657bae52aa09827779532919023db228b5d8892978,D090,3236,2,False,312,HEURISTIC_NOT_FOUND,True,d1674a83720634be7f5fed9121a4f86888a5203a35febd5eae707b7364b98f90,466688,352,18071552,1,314,0.9,10,9,M,M_RING,False,RING,305.205103,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,58.428665,312,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,58.525292,312,HEURISTIC_NOT_FOUND,314/352,0.8920454545454545454545454545,2c300762f271c9ef4b2bff657bae52aa09827779532919023db228b5d8892978,D090,3236,2,False,312,HEURISTIC_NOT_FOUND,True,d1674a83720634be7f5fed9121a4f86888a5203a35febd5eae707b7364b98f90,466688,352,18071552,2,314,0.9,10,9,M,M_RING,False,RING,290.929826,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,84.975419,312,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,86.847577,312,HEURISTIC_NOT_FOUND,314/352,0.8920454545454545454545454545,33866afcf0c920cbf81c823296a0ba62d2483b079677724de5bd5fe10b02de5e,D090,3236,2,False,312,HEURISTIC_NOT_FOUND,True,ed0071bb15fbd67f5b2d6b8708003aaf8bda3a827bbf27839e2bbdc72352070f,466688,352,21094400,1,314,0.9,10,9,M,M_REDSTAR,False,REDSTAR,476.053751,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,86.064862,312,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,86.835118,312,HEURISTIC_NOT_FOUND,314/352,0.8920454545454545454545454545,33866afcf0c920cbf81c823296a0ba62d2483b079677724de5bd5fe10b02de5e,D090,3236,2,False,312,HEURISTIC_NOT_FOUND,True,ed0071bb15fbd67f5b2d6b8708003aaf8bda3a827bbf27839e2bbdc72352070f,466688,352,21094400,2,314,0.9,10,9,M,M_REDSTAR,False,REDSTAR,466.013072,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,80.815604,312,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,82.334256,312,HEURISTIC_NOT_FOUND,314/352,0.8920454545454545454545454545,3e33304a6c8cb91f812ec4921e171bd8236ec1057cbaf4b19f50a38a1d6f046e,D090,3236,2,False,312,HEURISTIC_NOT_FOUND,True,bc893aef42828b381121446189721db0a14c239c6164c9e7972deb0576dd6564,466688,352,17596416,1,314,0.9,10,9,M,M_ROR,False,ROR,364.548789,True
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,True,False,80.479556,312,HEURISTIC_NOT_FOUND,2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,False,80.287319,312,HEURISTIC_NOT_FOUND,314/352,0.8920454545454545454545454545,3e33304a6c8cb91f812ec4921e171bd8236ec1057cbaf4b19f50a38a1d6f046e,D090,3236,2,False,312,HEURISTIC_NOT_FOUND,True,bc893aef42828b381121446189721db0a14c239c6164c9e7972deb0576dd6564,466688,352,17596416,2,314,0.9,10,9,M,M_ROR,False,ROR,354.9396,True
