HNF_count,HNF_set_sha,backend,density_tag,repeat,rho_den,rho_num,scenario
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,CELF,D090,1,10,9,L_ROR
13,fada3ef1c16ce6961a11a64d983563969cb3bf7596a1c259946553f0b67a6342,H2S,D090,2,10,9,L_ROR
13,8716d5b1d5c0bc5f48beeb0ad186493e55e4eb09e99e84fb992b56c8bd2fee08,CELF,D090,2,10,9,L_ROR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D085,1,20,17,M_RING
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D085,1,20,17,M_RING
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D085,2,20,17,M_RING
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D085,2,20,17,M_RING
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D085,1,20,17,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D085,1,20,17,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D085,2,20,17,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D085,2,20,17,M_REDSTAR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D085,1,20,17,M_ROR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D085,1,20,17,M_ROR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,H2S,D085,2,20,17,M_ROR
2,0a176de849dbdfd219e00ccd5bd4b0fe3e1fbf0de47d366180778fd8663ea1a9,CELF,D085,2,20,17,M_ROR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,H2S,D085,1,20,17,L_RING
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,CELF,D085,1,20,17,L_RING
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,H2S,D085,2,20,17,L_RING
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,CELF,D085,2,20,17,L_RING
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,H2S,D085,1,20,17,L_REDSTAR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,CELF,D085,1,20,17,L_REDSTAR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,H2S,D085,2,20,17,L_REDSTAR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,CELF,D085,2,20,17,L_REDSTAR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,H2S,D085,1,20,17,L_ROR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,CELF,D085,1,20,17,L_ROR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,H2S,D085,2,20,17,L_ROR
12,d1536fc46ce4db8170b2a461d90991031547bf78167b38bfcdfbf336c08566ca,CELF,D085,2,20,17,L_ROR
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,H2S,D080,1,5,4,M_RING
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,CELF,D080,1,5,4,M_RING
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,H2S,D080,2,5,4,M_RING
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,CELF,D080,2,5,4,M_RING
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,H2S,D080,1,5,4,M_REDSTAR
1,3e011b1c53ba2a5b722eb46de6961427eb149a32b6a08342afc0358e9e3707fc,CELF,D080,1,5,4,M_REDSTAR
