CELF_attempted,CELF_ms,CELF_scheduled_count,CELF_status,H2S_ms,H2S_scheduled_count,H2S_status,HNF_count,HNF_set_sha,P0_complete,alpha,alpha_decimal,alpha_den,alpha_num,complete_instances,expected_instances,formal_algorithm,formal_scheduled_count,formal_status,instance_completion_sha,missing_instances,peak_RSS,repeat,scale,scenario,scheduled_ratio,static_checker,topology,total_flows,upstream_verifier
True,61.408299,348,PARTIAL_SCHEDULE,67.038298,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,6/5,1.2,5,6,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19456000,1,M,M_RING,0.9886363636363636,False,RING,352,True
True,61.054453,348,PARTIAL_SCHEDULE,62.334171,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,6/5,1.2,5,6,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,d383784046cc2f75bba5b0e5355b398f8bfc8c184b2aee9c55d88998e5499ddb,35,19456000,2,M,M_RING,0.9886363636363636,False,RING,352,True
True,92.044634,348,PARTIAL_SCHEDULE,94.538822,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,6/5,1.2,5,6,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23072768,1,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,92.777186,348,PARTIAL_SCHEDULE,95.111549,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,6/5,1.2,5,6,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,eda98aaa326e4f77cb89e0ecfdcd0013cd6dab7f1137e5b9bece31ffc4d43e51,35,23072768,2,M,M_REDSTAR,0.9886363636363636,False,REDSTAR,352,True
True,87.160472,348,PARTIAL_SCHEDULE,87.799882,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,6/5,1.2,5,6,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,19124224,1,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,86.981375,348,PARTIAL_SCHEDULE,86.29223,348,PARTIAL_SCHEDULE,4,a0663d7deb382c3bf33d7161a3343a0974af92e16e5743b8923aa186586d0166,False,6/5,1.2,5,6,3581,3616,H2S,348,HEURISTIC_NOT_FOUND,33d7e2769c748503eb7deb9cfd03fa0964b8c10196f01f38e5b8124ea2b621e0,35,19124224,2,M,M_ROR,0.9886363636363636,False,ROR,352,True
True,168.84735,914,PARTIAL_SCHEDULE,169.929194,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,6/5,1.2,5,6,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,1,L,L_RING,0.9849137931034483,False,RING,928,True
True,160.300899,914,PARTIAL_SCHEDULE,166.443333,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,6/5,1.2,5,6,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,2139cc70df0572d519dfeaf0d483a131b62c78d5c4df983431c31d66d799eff4,183,44142592,2,L,L_RING,0.9849137931034483,False,RING,928,True
True,454.359033,914,PARTIAL_SCHEDULE,481.661993,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,6/5,1.2,5,6,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,183,52719616,1,L,L_REDSTAR,0.9849137931034483,False,REDSTAR,928,True
True,461.32185,914,PARTIAL_SCHEDULE,461.545611,914,PARTIAL_SCHEDULE,14,6ba80c16b3b809b03315d5305e376c31933dee59902ded1693f8bc42c3751960,False,6/5,1.2,5,6,9449,9632,H2S,914,HEURISTIC_NOT_FOUND,32c651f21b3faf1b30f98d14075ecee34255b0442d1dbb8df705bd1d07ab13f2,183,52719616,2,L,L_REDSTAR,0.9849137931034483,False,REDSTAR,928,True
